item_no,chapter,description,unit,rate
A5.48.2,5.0 REINFORCED CEMENT CONCRETE,considered in this item is 480 Kg/cum. Excess or less cement used as per design mix is payable or recoverable seperately. - Reinforced Cement Concrete M-60,Cum,14667.0
A5.48.3,5.0 REINFORCED CEMENT CONCRETE,used as per design mix is payable or recoverable seperately. Extra for using M50 or M60 grade self compacting cement - concrete,Cum,1000.7
A5.49,5.0 REINFORCED CEMENT CONCRETE,"same after casting, including chipping off the bentonite adulterated concrete or unsound concrete upto the cutoff level - : ;",Cum,25392.3
A6.1.1,6.0 BRICKWORK,MF Cement mortar 1:4 (1 cement : 4 fine sand),Cum,10918.7
A6.1.2,6.0 BRICKWORK,MF Cement mortar 1:6 (1 cement : 6 fine sand),Cum,10591.8
A6.2.1,6.0 BRICKWORK,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,6553.2
A6.2.2,6.0 BRICKWORK,MF |Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,6265.5
A6.3.1,6.0 BRICKWORK,mortsr 1:6 (1 cement : 6 coarse sand) bricks of class designation 7.5 in foundation and plinth in - MF With F.P.S ( Non-Modular) bricks,Cum,8612.4
A6.3.2,6.0 BRICKWORK,mortsr 1:6 (1 cement : 6 coarse sand) bricks of class designation 7.5 in foundation and plinth in - MF = With Modular bricks,Cum,8412.1
A6.4.1,6.0 BRICKWORK,MF | Cement mortar 1:4 (1 cement : 4 fine sand),Cum,12122.9
A6.4.2,6.0 BRICKWORK,MF | Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,11796.0
A6.5,6.0 BRICKWORK,"superstructure above floor-V level, for each Four floors or part",Cum,1337.9
A6.6,6.0 BRICKWORK,providing and fixing bitumastic coated M.S ties 300 mm long of,Sqm,170.8
A6.7,6.0 BRICKWORK,cement : 3 coarse sand) in super structure for closing cavity 5 to —,Metre,394.8
A6.8,6.0 BRICKWORK,cement : 3 coarse sand) in super structure above plinth level &,Sqm,1037.9
A6.9,6.0 BRICKWORK,MF complete for span upto 6 meters with common burnt clay F.P.S.,Cum,16332.1
A6.10,6.0 BRICKWORK,"MF sand) including centering and shuttering complete, for span upto",Cum,19282.1
A6.11,6.0 BRICKWORK,"meter span including all shuttering, bolting, wedging and",Sqm,461.6
A6.12.1,6.0 BRICKWORK,MF Cement mortar 1:3(1 cement : 3 coarse sand),Sqm,1320.5
A6.12.2,6.0 BRICKWORK,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Sqm,1283.9
A6.13.1,6.0 BRICKWORK,MF Cement mortar 1:3 (1 cement : 3 coarse sand),Sqm,1451.3
A6.13.2,6.0 BRICKWORK,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Sqm,1414.7
A6.14,6.0 BRICKWORK,"Ao ferewrttaonepaeterctgymecininens ""4 Ra) aya) a) a) ala",Sqm,22.4
A6.15,6.0 BRICKWORK,for every 4 floors or part thereof by mechanical means At Saaateerytiecauaeaf ta ones SM FOR s007 0D ESA fos) sora]__Y0s70 eBay) tonGo ma) er - . :,Sqm,100.7
A6.16.1,6.0 BRICKWORK,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,11760.2
A6.16.2,6.0 BRICKWORK,MF Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,11237.1
A6.17,6.0 BRICKWORK,MF 1) in foundation and plinth in cement mortar 1:6 ( 1 cement : 6,Cum,11748.8
A6.18,6.0 BRICKWORK,MF evel upto floor V level in cement mortar 1:6 (1 cement : 6,Cum,12533.2
A6.20,6.0 BRICKWORK,MF level upto floor V level in cement mortar 1:4 (1 cement : 4,Cum,16698.3
A6.21,6.0 BRICKWORK,MF structure above plinth level upto floor V level in cement mortar,Cum,19313.3
A6.22,6.0 BRICKWORK,"Tile brick masonary work 5 cm thick with common burnt clay FPS (non modular) Tile bricks of Class designation 10 in cement - MF ; , :",Sqm,817.1
A6.23,6.0 BRICKWORK,Honey comb brick work 10/11.4 cm thick with common burnt clay bricks of Class designation 7.5 in super structure above plinth and - MF : ; :,Sqm,904.5
A6.25,6.0 BRICKWORK,Extra for laying brick work in or under foul position,Cum,275.6
A6.26.1,6.0 BRICKWORK,bricks of Class designation 7.5 in exposed brick work including complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level,Cum,10739.7
A6.26.2,6.0 BRICKWORK,bricks of Class designation 7.5 in exposed brick work including complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF Above plinth level upto floor V level,Cum,12004.1
A6.27.1,6.0 BRICKWORK,designation 7.5 in exposed brick work including making horizontal cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level,Cum,6310.4
A6.27.2,6.0 BRICKWORK,designation 7.5 in exposed brick work including making horizontal cement mortar 1:6 (1 cement : 6 coarse sand) - MF Above plinth level upto floor V level,Cum,7287.8
A6.28.1,6.0 BRICKWORK,"making horizontal and vertical grooves 10mm wide, 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level",Cum,7112.2
A6.28.2,6.0 BRICKWORK,"making horizontal and vertical grooves 10mm wide, 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF Above plinth level upto floor V level",Cum,8256.2
A6.29.1,6.0 BRICKWORK,"modular) bricks of Class designation 12.5 in exposed brick work 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse - MF From ground level upto plinth level",Cum,7697.2
A6.29.2,6.0 BRICKWORK,"modular) bricks of Class designation 12.5 in exposed brick work 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse - MF Above plinth level upto floor V level",Cum,8849.2
A6.30.1,Brick work with common burnt clay machine moulded,"horizontal and vertical grooves 10mm wide, 12mm _ deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level",Cum,7453.2
A6.30.2,Brick work with common burnt clay machine moulded,"horizontal and vertical grooves 10mm wide, 12mm _ deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF Above plinth level upto floor V level",Cum,8657.4
A6.31.1,Brick work with common burnt clay machine moulded,"grooves 10mm wide, 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level",Cum,7272.5
A6.31.2,Brick work with common burnt clay machine moulded,"grooves 10mm wide, 12mm deep, complete in cement mortar 1:6 (1 cement : 6 coarse sand) - MF From ground level upto plinth level",Cum,8476.7
A6.32.1,Brick work with common burnt clay machine moulded,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,8407.5
A6.32.2,Brick work with common burnt clay machine moulded,MF | Cement mortar 1 : 6 (1 cement : 6 coarse sand),Cum,8649.7
A6.34.1,Brick work with common burnt clay machine moulded,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,7785.4
A6.34.2,Brick work with common burnt clay machine moulded,MF Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,7998.5
A6.35.1,Brick work with common burnt clay machine moulded,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,8667.4
A6.35.2,Brick work with common burnt clay machine moulded,MF Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,8880.5
A6.36.1,Brick work with common burnt clay machine moulded,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Cum,7174.8
A6.37,Brick work with common burnt clay machine moulded,MF ( conforminng to IS : 4885) in arches in foundation and plinth in,Cum,11893.9
A6.38,Brick work with common burnt clay machine moulded,MF level upto floor V level in cement mortar 1:4 (1 cement : 4,Cum,9222.4
A6.40,Brick work with common burnt clay machine moulded,with bonding plaster as per manufacturer's specifications in,Sqm,1004.6
A6.41,Brick work with common burnt clay machine moulded,Extra for Gypsum panel Partition in superstructure above floor V,Sqm,104.2
A6.44,Brick work with common burnt clay machine moulded,7.5 including grouting with cement mortar 1:4 (1 cement : 4 fine,Metre,86.4
A6.45.1,Brick work with common burnt clay machine moulded,MF Cement mortar 1:3 (1 cement : 3 coarse sand),Sqm,586.4
A6.45.2,Brick work with common burnt clay machine moulded,MF Cement mortar 1:4 (1 cement : 4 coarse sand),Sqm,613.5
A7.1.1,7.0 STONE WORK,MF Cement mortar 1:6 (1 cement: 6 coarse sand),Cum,6822.6
A7.2.1,7.0 STONE WORK,MF Cement mortar 1:6 (1 cement: 6 coarse sand),Cum,7342.9
A7.4.2,7.0 STONE WORK,"stone aggregate 20 mm nominal size) at window sills, ceiling level and the like : - Circular Pillars",Cum,1819.2
A7.5,7.0 STONE WORK,level and the like : ‘Extra for random rubble masonry with hard stone curved on plan | | | | | | - for a mean radius not exceeding 6 m,Cum,697.4
A7.6.1,7.0 STONE WORK,MF Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,7747.3
A7.7.1,7.0 STONE WORK,MF Cement mortar 1:6 (1 cement : 6 coarse sand),Cum,7280.6
A7.10.1,7.0 STONE WORK,"Masonry work ( second sort), in Cement mortar 1:6 (1 cement : 6 Extra for coursed random rubble masonry with hard stone (first - Square or rectangular pillars",Cum,700.4
A7.10.2,7.0 STONE WORK,"Masonry work ( second sort), in Cement mortar 1:6 (1 cement : 6 Extra for coursed random rubble masonry with hard stone (first - Circular Pillars",Cum,2068.3
A7.11,7.0 STONE WORK,or second sort) curved on plan for a mean radius not exceeding 6,Cum,761.7
A7.12.1.2,7.0 STONE WORK,cement mortar 1:6 (1 cement : 6 coarse sand) including pointing admixture of pigment matching the stone shade : - White sand stone,Cum,73573.2
A7.12.2.1,7.0 STONE WORK,cement mortar 1:6 (1 cement : 6 coarse sand) including pointing admixture of pigment matching the stone shade : - Red sand stone,Cum,60527.3
A7.12.2.2,7.0 STONE WORK,admixture of pigment matching the stone shade : - White sand stone,Cum,88116.6
A7.13.1.1,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade - Red sand stone,Cum,53089.5
A7.13.1.2,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade - White sand stone,Cum,80678.8
A7.13.2.2,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade - White sand stone,Cum,95222.1
A7.14.1.2,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade : - White sand stone,Cum,110690.0
A7.14.2.1,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade : - Red sand stone,Cum,121191.8
A7.14.2.2,7.0 STONE WORK,white cement : 2 stone dust) with an admixture of pigment matching the stone shade : - White sand stone,Cum,148781.1
A7.15.1.1,7.0 STONE WORK,V level in cement mortar 1:6 (1 cement : 6 coarse sand) including with an admixture of pigment matching the stone shade : - Red sand stone,Cum,43655.9
A7.15.1.2,7.0 STONE WORK,V level in cement mortar 1:6 (1 cement : 6 coarse sand) including with an admixture of pigment matching the stone shade : - White sand stone,Cum,71245.2
A7.15.2.2,7.0 STONE WORK,with an admixture of pigment matching the stone shade : - White sand stone,Cum,83460.6
A7.16,7.0 STONE WORK,masonry/ashlar masonry above floor V level for every four floors,Cum,1204.1
A7.17.1,7.0 STONE WORK,"Extra for stone work, random _ rubble/ coursed rubble or part thereof: - Square or Rectangular pillars",Cum,2953.5
A7.18,7.0 STONE WORK,or part thereof: Extra for stone work; plain ashlar or ashlar punched curved on - : : :,Cum,2054.6
A7.19,7.0 STONE WORK,"span including all strutting, bolting, wedging etc. and removal",Sqm,461.6
A7.20.1,7.0 STONE WORK,floor V level in cement mortar 1:6 (1 cement : 6 coarse sand) : 2 stone dust) with an admixture of pigment matching the stone - Red sand stone,Cum,64933.9
A7.20.2,7.0 STONE WORK,floor V level in cement mortar 1:6 (1 cement : 6 coarse sand) : 2 stone dust) with an admixture of pigment matching the stone - white sand stone,Cum,92523.2
A7.21.1,7.0 STONE WORK,triangular or square or rectangular pillars,Cum,3852.4
A7.21.2,7.0 STONE WORK,Extra for stone work; ashlar sunk or moulded or sunk and moulded or carved in : - Circular or polygonal pillars,Cum,10915.2
A7.22,7.0 STONE WORK,Extra for stone work ashlar sunk or moulded in cornices,Cum,852.9
A7.26,7.0 STONE WORK,wedge shape as per design in cement mortar 1:2 (1 cement : 2,Each,59.3
A7.28.1.1,7.0 STONE WORK,matching the stone shade: With common burnt clay F.P.S (non- modular) bricks of class - designation 7.5,Sqm,2134.7
A7.29.1,7.0 STONE WORK,cement: 2 stone dust) with an admixture of pigment matching the stone shade: - Red sand stone,Sqm,1278.0
A7.29.2,7.0 STONE WORK,cement: 2 stone dust) with an admixture of pigment matching the stone shade: - White sand stone,Sqm,1278.0
A7.30,7.0 STONE WORK,"red sand stone brackets, fixed in walls with cement mortar 1:4 (1",Sqm,1512.9
A7.31,7.0 STONE WORK,and moulded including providing and fixing with 4 Nos gun metal,Each,4858.9
A7.32.1,7.0 STONE WORK,"white cement : 2 stone dust), with an admixture of pigment matching the stone shade. - Red sand stone",Cum,78692.4
A7.32.2,7.0 STONE WORK,"white cement : 2 stone dust), with an admixture of pigment matching the stone shade. - White sand stone",Cum,115605.0
A7.33.1,7.0 STONE WORK,"an admixture of pigment matching the stone shade, jali slab without any chamfers etc - Red sand stone",Sqm,9797.6
A7.33.2,7.0 STONE WORK,"an admixture of pigment matching the stone shade, jali slab without any chamfers etc - White sand stone",Sqm,9797.6
A7.34,7.0 STONE WORK,the center of gravity of stone work under sub-soil water with the,Cum,663.0
A7.35,7.0 STONE WORK,Extra for laying Stone work in or under foul position,Cum,275.6
A7.38.1.1,7.0 STONE WORK,"3 coarse sand), including pointing in white cement with an admixture of pigment to match the stone shades. - Granite stone of any colour and shade",Sqm,2697.9
A7.38.1.2,7.0 STONE WORK,admixture of pigment to match the stone shades. Raj Nagar plain white marble/ Udaipur green marble/ Zebra - black marble,Sqm,2360.4
A8.1.1.1,7.0 STONE WORK,"of cramps, which shall be paid seperately) Raj Nagar Plain white marble/Udaipur green marble/Zebra black - Area of slab upto 0.50 sqm",Sqm,4260.2
A8.1.1.2,7.0 STONE WORK,"of cramps, which shall be paid seperately) Raj Nagar Plain white marble/Udaipur green marble/Zebra black - Area of slab over 0.50 sqm",Sqm,4473.5
A8.2.1.1,7.0 STONE WORK,polishing to edges to give high gloss finish etc. complete at all marble. | | | | | | - Area of slab upto 0.50 sqm,Sqm,2961.2
A8.2.1.2,7.0 STONE WORK,polishing to edges to give high gloss finish etc. complete at all marble. | | | | | | - Area of slab above 0.50 sqm,Sqm,2814.8
A8.2.2.1,7.0 STONE WORK,marble. | | | | | | - Area of slab upto 0.50 sqm,Sqm,4733.0
A8.2.2.2,7.0 STONE WORK,marble. | | | | | | - Area of slab over 0.50 sqm,Sqm,4605.2
A8.3.1,7.0 STONE WORK,"Providing edge moulding to 18 mm thick marble stone counters, gloss finish etc. complete as per design approved by Engineer-in- - Marble work",Metre,206.3
A8.3.2,7.0 STONE WORK,"Providing edge moulding to 18 mm thick marble stone counters, gloss finish etc. complete as per design approved by Engineer-in- - Granite work",Metre,349.6
A8.4,7.0 STONE WORK,"corresponding basic item, in facia and drops of width upto)",Metre,424.3
A8.5,7.0 STONE WORK,"location in marble/granite/stone work, including necessary holes",Each,665.8
A8.6,7.0 STONE WORK,cut edges etc. complete ‘Mirror polishing on marble works/granite work/stone work | | | | | | - F : P .e,Sqm,312.4
A8.7.1,7.0 STONE WORK,RCC/CC/Brick masonary backing with cement mortar 1:2 (1 stones and embedding the cramp in the hole (fatener to be paid - Gun metal cramps,kg,763.0
A8.7.2,7.0 STONE WORK,RCC/CC/Brick masonary backing with cement mortar 1:2 (1 stones and embedding the cramp in the hole (fatener to be paid - ‘Stainless steel cramps.,Kg,743.2
A8.8.1.1,7.0 STONE WORK,Providing and fixing expansion hole fasteners on CC/RCC/Brick the cost of bolt etc. complete - Fastener with threated dia 6 mm,Each,35.7
A8.8.1.2,7.0 STONE WORK,Providing and fixing expansion hole fasteners on CC/RCC/Brick the cost of bolt etc. complete - Fastener with threated dia 10 mm,Each,36.1
A8.8.1.3,7.0 STONE WORK,Providing and fixing expansion hole fasteners on CC/RCC/Brick the cost of bolt etc. complete - Fastener with threated dia 12 mm,Each,62.8
A8.9.1.1,7.0 STONE WORK,cement mortar 1:3 (1 cement : 3 coarse sand) and cement slurry Raj Nagar plain white marble/Udaipur green marble/zebra black | | | | | | - marble,Sqm,2534.2
A8.9.1.2,7.0 STONE WORK,cement mortar 1:3 (1 cement : 3 coarse sand) and cement slurry Raj Nagar plain white marble/Udaipur green marble/zebra black | | | | | | - Granite of any colour and shape,Sqm,3040.4
A8.10.1,7.0 STONE WORK,4 graded stone aggregete 6 mm nominal size)as per direction of Engineer-in-charge and finished smooth. - White Agaria Marble Stone,Sqm,3958.4
A8.10.2,7.0 STONE WORK,4 graded stone aggregete 6 mm nominal size)as per direction of Engineer-in-charge and finished smooth. - Granite stone of approved shade,Sqm,3958.4
A8.11.1,7.0 STONE WORK,"18 mm thick Italian marble stone slab, Perlato, Rosso Verona, | | | | | |",Sqm,9681.8
A8.14.1.1,7.0 STONE WORK,shade. (To be secured to the backing by means of cramps and pins which shall be paid seperately) - 70 mm thick,Sqm,4303.5
A8.14.1.2,7.0 STONE WORK,shade. (To be secured to the backing by means of cramps and pins which shall be paid seperately) - 60 mm thick,Sqm,4130.1
A8.14.1.3,7.0 STONE WORK,shade. (To be secured to the backing by means of cramps and pins which shall be paid seperately) - 50 mm thick,Sqm,3957.1
A8.14.1.4,7.0 STONE WORK,shade. (To be secured to the backing by means of cramps and pins which shall be paid seperately) - 40 mm thick,Sqm,3782.9
A8.14.1.5,7.0 STONE WORK,pins which shall be paid seperately) - 30 mm thick,Sqm,3609.8
A8.14.2.1,7.0 STONE WORK,Red sand stone - Exposed face machine cut and table rubbed - 70 mm thick,Sqm,5769.3
A8.14.2.2,7.0 STONE WORK,Red sand stone - Exposed face machine cut and table rubbed - 60 mm thick,Sqm,5596.0
A8.14.2.3,7.0 STONE WORK,Red sand stone - Exposed face machine cut and table rubbed - 50 mm thick,Sqm,5423.0
A8.14.2.4,7.0 STONE WORK,Red sand stone - Exposed face machine cut and table rubbed - 40 mm thick,Sqm,5249.1
A8.14.2.5,7.0 STONE WORK,Red sand stone - Exposed face machine cut and table rubbed - 30 mm thick,Sqm,5075.6
A8.14.3.1,7.0 STONE WORK,70 mm thick,Sqm,6238.5
A8.14.3.2,7.0 STONE WORK,60 mm thick,Sqm,5789.6
A8.14.3.3,7.0 STONE WORK,50 mm thick,Sqm,5340.8
A8.14.3.5,7.0 STONE WORK,30 mm thick,Sqm,4439.3
A8.14.4.1,7.0 STONE WORK,oom tay ttn om to | wath ae White Sand Stone - Exposed face machine cut and table rubbed - 70 mm thick,Sqm,7704.3
A8.14.4.2,7.0 STONE WORK,oom tay ttn om to | wath ae White Sand Stone - Exposed face machine cut and table rubbed - 60 mm thick,Sqm,7255.5
A8.14.4.3,7.0 STONE WORK,oom tay ttn om to | wath ae White Sand Stone - Exposed face machine cut and table rubbed - (50 mm thick,Sqm,6806.6
A8.14.4.4,7.0 STONE WORK,oom tay ttn om to | wath ae White Sand Stone - Exposed face machine cut and table rubbed - 40 mm thick,Sqm,6354.4
A8.14.4.5,7.0 STONE WORK,White Sand Stone - Exposed face machine cut and table rubbed - 30 mm thick,Sqm,5905.1
A8.14.5.1,7.0 STONE WORK,/30 mm thick White sand stone,Sqm,2591.8
A8.14.5.2,7.0 STONE WORK,30 mm thick Red sand stone,Sqm,2358.5
